Country/Region,Population,Total Cases
Afghanistan,38928346,36896
Albania,2877797,6016
Algeria,43851044,33626
Andorra,77265,944
Angola,32866272,1483
Antigua and Barbuda,97929,92
Argentina,45195774,228195
Armenia,2963243,39819
Australia,25499884,19890
Austria,9006398,21696
Azerbaijan,10139177,33247
Bahamas,393244,761
Bahrain,1401575,42889
Bangladesh,164689383,249651
Barbados,287375,133
Belarus,9449323,68503
Belgium,11589623,71158
Belize,397628,86
Benin,12123200,1936
Bhutan,771608,105
Bolivia,11673021,86423
Bosnia and Herzegovina,3280819,13396
Botswana,2351627,804
Brazil,212559417,2917562
Brunei,437479,141
Bulgaria,6948445,13014
Burkina Faso,20903273,1158
Burma,54409800,357
Burundi,11890754,395
Cabo Verde,555987,2734
Cambodia,16718965,243
Cameroon,26545863,17718
Canada,37742154,118561
Central African Republic,4829757,4620
Chad,16425864,942
Chile,19116201,366671
China,1439323776,76000
Colombia,50882891,357710
Comoros,869601,396
Congo (Brazzaville),5244000,3546
Congo (Kinshasa),84070000,9309
Costa Rica,5094118,21070
Cote d'Ivoire,26378274,16447
Croatia,4105267,5404
Cuba,11326616,2775
Cyprus,120359,1208
Czechia,10708981,17731
Denmark,5792202,14306
Djibouti,988000,5330
Dominica,71986,18
Dominican Republic,10847910,76536
Ecuador,17643054,90537
Egypt,102334404,95006
El Salvador,6486205,19126
Equatorial Guinea,1402985,4821
Eritrea,3546421,282
Estonia,1326535,2124
Eswatini,1160164,2968
Ethiopia,114963588,20900
Fiji,896445,27
Finland,5540720,7532
France,65273511,195633
Gabon,2225734,7787
Gambia,2416668,935
Georgia,3989167,1206
Germany,83783942,215210
Ghana,31072940,39642
Greece,10423054,5123
Greenland,56770,14
Grenada,112523,24
Guatemala,17915568,54339
Guinea,13132795,7664
Guinea-Bissau,1968001,2032
Guyana,786552,538
Haiti,11402528,7544
Holy See,801,12
Honduras,9904607,45098
Hungary,9660351,4597
Iceland,341243,1930
India,1380004385,2025409
Indonesia,273523615,118753
Iran,83992949,320117
Iraq,40222493,140603
Ireland,4937786,26372
Israel,8655535,79559
Italy,60461826,249204
Jamaica,2961167,958
Japan,126476461,42263
Jordan,10203134,1232
Kazakhstan,18776707,95942
Kenya,53771296,24411
Kosovo,1810000,10000
Kuwait,4270571,70045
Kyrgyzstan,6524195,38659
Laos,7275560,20
Latvia,1886198,1275
Lebanon,6825445,5672
Lesotho,2142249,742
Liberia,5057681,1224
Libya,6871292,4879
Liechtenstein,38128,89
Lithuania,2722289,2171
Luxembourg,625978,7073
Madagascar,27691018,12526
Malawi,19129952,4491
Malaysia,32365999,9038
Maldives,540544,4680
Mali,20250833,2552
Malta,441543,946
Mauritania,4649658,6444
Mauritius,1271768,344
Mexico,128932753,462690
Moldova,4033963,26628
Monaco,39242,125
Mongolia,3278290,293
Montenegro,689066,3480
Morocco,36910560,29644
Mozambique,31255435,2120
Namibia,2540905,2652
Nepal,29136808,21750
Netherlands,17134872,56982
New Zealand,4822233,1569
Nicaragua,6624554,3902
Niger,24206644,1153
Nigeria,206139589,45244
North Macedonia,2083374,11399
Norway,5421241,9468
Oman,5106626,80713
Pakistan,220892340,281863
Panama,4314767,71418
Papua New Guinea,8947024,163
Paraguay,7132538,6375
Peru,32971854,455409
Philippines,109581078,119460
Poland,37846611,49515
Portugal,10196709,52061
Qatar,2881053,112092
Romania,19237691,57895
Russia,145934462,871894
Rwanda,12952218,2111
Saint Kitts and Nevis,53199,17
Saint Lucia,183627,25
Saint Vincent and the Grenadines,110940,56
San Marino,33931,699
Sao Tome and Principe,219159,878
Saudi Arabia,34813871,284226
Senegal,16743927,10715
Serbia,8737371,27332
Seychelles,98347,126
Sierra Leone,7976983,1877
Singapore,5850342,54555
Slovakia,5459642,2480
Slovenia,2078838,2223
Somalia,15893221,3227
South Africa,59308690,538184
South Korea,51269185,14519
South Sudan,11193725,2450
Spain,46754778,354530
Sri Lanka,21413249,2839
Sudan,43849260,11780
Suriname,586632,2096
Sweden,10099265,81967
Switzerland,8654622,36108
Syria,17500658,999
Taiwan*,23816775,477
Tajikistan,9537645,7665
Tanzania,59734218,509
Thailand,69799978,3330
Timor-Leste,1318445,25
Togo,8278724,1012
Trinidad and Tobago,1399488,210
Tunisia,11818619,1642
Turkey,84339067,237265
US,331002651,5032179
Uganda,3473730,1223
Ukraine,43733762,76808
United Arab Emirates,9890402,61845
United Kingdom,67886011,308134
Uruguay,3473730,1318
Uzbekistan,33469203,28315
Venezuela,28435940,22299
Vietnam,97338579,747
West Bank and Gaza,3050000,13398
Western Sahara,597339,10
Yemen,29825964,1768
Zambia,18383955,7164
Zimbabwe,14862924,4339
